"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Baltimore-Columbia-Towson, MD","12580",2021,304,210,79,15,0,0,0,140,80,45,0,20,224,1,59,0
"Bangor, ME","12620",2021,304,281,23,0,0,0,0,100,48,33,0,0,205,0,97,2
"Baraboo, WI","12660",2021,181,135,46,0,0,0,0,93,64,41,0,0,82,0,99,0
"Barnstable Town, MA","12700",2021,239,214,22,3,0,0,0,126,51,38,0,0,239,0,0,0
"Bartlesville, OK","12780",2021,273,181,85,7,0,0,0,139,64,44,0,0,152,0,121,0
"Baton Rouge, LA","12940",2021,305,217,83,4,1,0,0,159,64,44,1,0,164,1,139,0
"Bay City, MI","13020",2021,181,166,15,0,0,0,0,72,48,20,0,0,0,0,181,0
"Beatrice, NE","13100",2021,130,62,67,1,0,0,0,115,64,51,0,0,0,0,130,0
"Beaumont-Port Arthur, TX","13140",2021,181,130,48,3,0,0,0,103,71,42,0,1,83,35,62,0
"Beaver Dam, WI","13180",2021,182,125,57,0,0,0,0,97,69,43,1,0,126,0,55,0
"Bellingham, WA","13380",2021,181,178,3,0,0,0,0,68,40,28,0,0,86,26,69,0
"Bemidji, MN","13420",2021,87,78,9,0,0,0,0,78,55,25,0,0,0,0,87,0
"Bend-Redmond, OR","13460",2021,181,175,5,0,1,0,0,161,32,15,0,0,0,0,181,0
"Bennington, VT","13540",2021,181,159,22,0,0,0,0,84,51,38,0,0,159,0,22,0
"Berlin, NH-VT","13620",2021,181,161,20,0,0,0,0,80,51,43,0,0,181,0,0,0
"Big Spring, TX","13700",2021,120,100,13,5,2,0,0,178,87,0,0,0,0,120,0,0
"Billings, MT","13740",2021,179,163,16,0,0,0,0,67,48,22,0,0,0,27,152,0
"Birmingham-Hoover, AL","13820",2021,243,146,94,2,0,1,0,213,73,48,1,1,122,7,111,1
"Bishop, CA","13860",2021,273,99,148,13,9,2,2,329,97,58,0,0,165,0,86,22
"Bismarck, ND","13900",2021,244,163,66,9,6,0,0,174,80,43,1,2,158,0,81,2
"Blacksburg-Christiansburg-Radford, VA","13980",2021,243,207,30,6,0,0,0,116,54,40,0,0,212,31,0,0
"Bloomington, IL","14010",2021,304,226,77,1,0,0,0,107,60,42,0,0,148,0,156,0
"Bloomington, IN","14020",2021,273,201,72,0,0,0,0,100,64,41,0,0,166,0,107,0
"Boise City, ID","14260",2021,273,173,88,12,0,0,0,136,77,47,0,0,189,0,78,6
"Borger, TX","14420",2021,210,139,27,39,5,0,0,169,124,11,0,0,0,210,0,0
"Boston-Cambridge-Newton, MA-NH","14460",2021,244,183,57,3,1,0,0,153,63,42,1,10,147,0,86,0
"Boulder, CO","14500",2021,257,127,100,27,3,0,0,159,105,51,0,0,196,0,61,0
"Bowling Green, KY","14540",2021,274,229,45,0,0,0,0,85,60,40,1,0,202,0,71,0
"Bozeman, MT","14580",2021,273,220,47,6,0,0,0,140,67,30,6,20,0,0,247,0
"Brainerd, MN","14660",2021,178,139,37,2,0,0,0,145,61,41,0,0,86,0,92,0
"Bremerton-Silverdale, WA","14740",2021,181,179,2,0,0,0,0,62,34,18,0,0,0,0,181,0
"Bridgeport-Stamford-Norwalk, CT","14860",2021,179,139,33,5,2,0,0,151,74,42,0,8,102,0,69,0
"Brookings, SD","15100",2021,181,132,46,3,0,0,0,112,71,44,0,0,154,0,21,6
"Brownsville-Harlingen, TX","15180",2021,243,136,107,0,0,0,0,99,69,47,0,0,48,0,195,0
"Brunswick, GA","15260",2021,232,226,6,0,0,0,0,61,45,33,0,0,197,0,35,0
"Buffalo-Cheektowaga-Niagara Falls, NY","15380",2021,274,211,61,2,0,0,0,108,64,41,1,6,194,1,72,0
"Burlington-South Burlington, VT","15540",2021,182,161,21,0,0,0,0,84,52,40,1,1,148,0,32,0
